id;name;email;phone
1;sans affiliate slink;Ivy_Brakus@yahoo.com;356-962-7920 x5956
2;unwieldy since;Virgie65@yahoo.com;832-310-0062
3;meh ick;Liza26@gmail.com;776.706.8983
4;when deceivingly oof;Summer.Lindgren@gmail.com;1-457-750-5242
5;troubled jungle;Alexandrea_Langosh32@yahoo.com;795-493-5804 x78773
6;monocle mixed jiggle;Noelia_Mante13@hotmail.com;615.241.2595 x217
7;as for annually;Chaya76@gmail.com;(292) 589-8654
8;phooey director where;Mckenzie76@gmail.com;1-826-355-0948 x72823
9;reword;Imogene8@gmail.com;368-809-5952
10;doting yippee negotiation;Haven95@yahoo.com;1-662-986-5636
